day	Anno	celltype	UMAP_1	UMAP_2	Car10	Hivep3	Jazf1	Ntng1	Pou6f2	Tshz2	Zfp804b
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-3.18	-6.86	0	0	0	0	0	5.8	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.07	0.73	0	0	0	0	0	4.4	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.7	1.04	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.57	-4.78	0	0	0	0	6.2	5.1	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.92	5.35	0	0	4.6	5.2	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.23	3.92	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.64	-1.5	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.61	0.19	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.93	-0.66	0	0	4.4	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	6.26	-3.08	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.14	3.7	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.75	-1.36	0	0	4.2	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.42	-1.41	4.5	0	0	0	0	4.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.72	-1.36	0	0	4.8	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.12	-1.98	0	0	0	4.3	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.75	0.06	5.3	0	0	5.3	0	5.3	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.21	-1.04	0	0	5	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	6.57	-1.85	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-5.02	3.29	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.97	5.02	0	0	0	0	0	0	0
