day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E4.5	E45_Epiblast	Epiblast	3.91	-0.44	3	2.6	2.5	2.4	3.2	3.1	2.4	2.7	3.9	2.5	2.2	1.7	0.2	2.5	0.7	5	1.7	3.4	2.4	3.4	2.5	2.1	1.9
E4.5	E45_Hypoblast	Hypoblast	4.96	-0.28	3.3	4.3	1.1	4.6	2.9	4.1	3.4	3.4	3.6	3.6	1.2	0.4	2.9	1.5	1.7	4.8	0	2.1	0	0.6	2.6	0	0
E4.5	E45_Hypoblast	Hypoblast	6.69	1.46	2.9	4	2.6	0.7	3.6	0.3	1.1	3.2	3.9	1.5	3.2	2.2	0	0	0	4.1	0	2.2	0	2.4	1	2	0
E4.5	E45_Hypoblast	Hypoblast	4.4	-0.05	3	3.3	0	3.2	3.4	3.2	3.1	3.8	3.8	2.1	2.3	2.4	1.7	2.2	0	4.6	0	3.8	0	2.8	0	0	0
E4.5	E45_Hypoblast	Hypoblast	6.11	-0.32	2.7	0.7	1.9	3.5	3.8	4.5	3.7	3.8	3.5	3.1	0.5	2.5	2.5	3	3.4	4.3	0	2.9	0.7	2.7	1.2	0	1.1
E4.5	E45_Hypoblast	Hypoblast	5.87	0.25	3	4.4	2.9	3.9	3.1	3.8	4.3	2.9	4.6	3.5	1.1	2.4	0	2.8	0	4.1	0	2.4	0	1.6	1.7	0	0
E4.5	E45_Epiblast	Epiblast	15.75	-24.93	0	0	0	0.7	0	0	0	0	2.4	0	0	0	0	0	0	5	2.3	4.1	2.7	2.8	3.3	0	2.1
E4.5	E45_Epiblast	Epiblast	15.83	-24.97	0	0	0	0	1.3	0	0	0	3.2	0	0	0	0	0.5	0	5.5	0	3.7	2.7	3.1	3.1	2.6	2.8
E4.5	E45_Hypoblast	Hypoblast	7.13	0.96	2.6	1.6	2.9	3.3	3.6	3.4	3.1	3.9	3.7	3	0	2.8	0	2	2.9	3.4	0	1.2	0	2.6	0	0	0
E4.5	E45_Epiblast	Epiblast	15.94	-25.47	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0.3	0	5.3	3	3.8	2.9	3	3.3	2.9	2.6
E4.5	E45_Hypoblast	Hypoblast	5.16	0.33	3.3	3.2	2	3.4	2.9	2.9	2.9	3.4	3.6	3.1	2.7	2	2.7	1.5	1.4	4.3	0.3	3.1	0	2	1.2	0	0.3
E4.5	E45_Epiblast	Epiblast	15.41	-25.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	5.1	2.4	3.6	2.6	3.5	2.5	3.1	2.6
