day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hes3	up:Nkx1-2	up:Hoxb9	up:Sox2	up:Foxb1	up:Nr6a1	down:T	down:Tbx6	down:Msx2	down:Mixl1	down:Mesp1	down:Hes7	down:Klf5	down:Snai1	down:Hand1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.35	1.36	2.3	0	3	3	3.6	2.3	3.4	2.3	3	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.89	3.14	3.5	2.4	2.4	2.4	2.4	3.1	2.4	0	3.1	3.1	0	0	0	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.84	5.12	0	0	0	0	0	3.2	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.91	0.4	0	2.9	2.3	2.3	0	2.3	2.3	2.3	2.9	3.3	0	0	0	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.89	0.45	0	3.3	3.6	3.6	3.3	0	0	3.3	2.6	0	0	0	0	0	2.6	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.74	2.53	3.8	0	0	0	2.5	0	0	0	2.5	3.8	0	0	0	0	3.5	3.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.6	5.08	3.1	2.1	2.1	2.1	3.4	3.1	0	0	3.6	2.1	0	3.1	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.54	0.52	3	3	3	3	4	3	3	3	3.6	3.6	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.41	-2.38	3.2	0	2.5	2.5	2.5	2.5	2.5	0	2.5	0	0	0	0	0	2.5	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.92	-4.03	3.7	0	2.2	2.2	3.7	2.8	3.2	2.2	2.8	2.8	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.18	4.71	3.5	0	0	0	3.5	2.8	0	0	0	0	0	0	0	2.8	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.79	-2.36	2.9	0	2.2	2.2	2.2	2.2	0	0	2.2	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.94	-2.64	3	3	0	0	3.6	2.3	0	0	3	2.3	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.59	2.2	2.1	0	2.7	2.7	0	3.6	2.1	2.7	0	3.4	0	0	0	0	2.7	0	2.1	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	5.75	-2.04	0	0	4.2	4.2	4	0	0	0	3.7	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.85	3.62	4	3.1	3.1	3.1	3.5	3.1	0	0	2.5	4.4	0	3.1	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.78	0.44	2.5	2.5	2.5	2.5	2.5	0	0	0	2.5	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.89	-0.32	3.5	2	2	2	2	3	2.6	2.6	2.6	0	0	0	0	0	2.6	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.76	-4.9	2.1	0	3.6	3.6	3.6	0	2.1	0	2.7	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.57	-0.11	2.6	2	0	0	2.6	2	0	2	0	0	0	0	0	0	2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.34	-2.94	1.8	2.4	1.8	1.8	2.4	0	2.4	1.8	2.4	2.4	0	0	0	0	0	0	1.8	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.66	-0.11	3.9	2.8	0	0	0	3.9	0	2.8	2.8	3.9	0	2.8	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.97	-2.66	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.95	4.71	2.5	1.9	3.2	3.2	2.5	0	2.5	0	0	0	0	0	0	0	0	1.9	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.36	-1.33	0	2.6	2.6	2.6	2.6	0	2.6	0	2.6	0	0	0	0	0	2.6	0	0	0
