day	Anno	celltype	UMAP_1	UMAP_2	marker:Nanog	marker:Sox2	marker:Pou5f1	marker:Utf1	marker:Esrrb	marker:Fgf4	up:Aire	up:Tcf15	up:Zfp428	up:Zfp534	up:Hmga1	up:Kdm5b	up:Zfp462	up:Rbpj	up:Grhl2	up:Otx2	up:Lef1	up:Zfp423	up:Pou2f1	up:Rarg	up:Gbx2	up:Hmga1-rs1	up:Bnc2	up:Etv1	up:Rex2	up:Nfib	up:Meis2	up:Sall3	down:Gata6	down:Esrra
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-3.94	4.67	3.6	2.4	5.2	3.6	2.4	0	0	0	0.4	0.4	2.3	0.9	0	2.9	0	0	0	0	0	0	0.9	1.4	0.9	0	0.9	0	0	0	2	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.65	6.4	4.5	3.1	4.8	2.4	3.4	1.8	0	0	1.1	0.9	1.8	2.7	0	1.4	2.2	0	0	0	1.6	0	0	0	0	0	0	0	0	0	4	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.93	6.78	4.4	1	5.4	2.9	1.8	1.3	0	0	2.9	1.7	2	2.2	0	1.1	1.7	0.5	0	0	1	0	0	0.5	0	0	0.5	0	0	0	2.7	1.6
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.6	6.32	3.9	0	4.7	3.5	1.8	1.9	0	1.3	0	1.5	0.9	2.7	0	1.3	2	0	0	0	2.3	0	0	0.1	0	0	0.8	0	0	0	0.8	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.78	5.66	4	0.1	4.7	2	2.2	0	0	0.9	0	0.1	2.1	0.5	0	1	0	0.5	0	0	0	0	0	1.1	0	0	0.1	0	0	0	3.7	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.73	6.55	4	0.8	5.2	3.5	2.8	0	0	0	2.9	0.1	1.2	2.5	0	1.9	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	2.9	1.9
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.47	6.83	4.5	0.3	5.1	3.4	2.9	3	0	0	2.4	0.6	1.3	2.4	0	2.4	0	1.2	0	0	1.7	0	0	0.3	0	0	0.2	0	0	0	0.3	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.92	6.57	4	4.1	5.3	3.5	0	1.2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	3.2	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.58	4	4.5	2.5	4.7	0	0	0	0	0	2.4	0.3	0	1.4	0	1.8	0.2	0	0	0	2.5	0	0	0.2	0	0	0	0	0	0	2.1	0.3
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.49	5.34	5.1	2.6	5.1	2.7	2.6	2.7	0	0	2.5	0.2	0.5	1.9	0	0.6	0.9	0.6	0	0	0	0	0	0.6	0	0	0.2	0	0	0	2.7	0.1
