day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Hesx1	Irx3	Meis2	Six3	Sp5
E7.25	E725_Epiblast	Epiblast	-2.32	1.87	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.34	-0.25	0	0	0	0	3	0
E7.25	E725_Epiblast	Epiblast	3.01	-0.85	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.99	-0.62	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.32	2.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.71	-3.67	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.29	3.11	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.54	1.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.08	3.1	3.2	0	0	0	0	2.1
E7.25	E725_Epiblast	Epiblast	2.71	1.98	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.56	-2.66	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.71	2.61	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.47	4.15	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.69	0.09	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.66	-1.55	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.03	-1.72	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.3	3.86	0	0	2.2	0	0	0
E7.25	E725_Epiblast	Epiblast	3.22	-0.55	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.22	-2.27	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.7	1.36	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.58	-1.73	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.05	2.59	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.41	1.14	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.58	1.51	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.69	3.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.55	2.01	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.59	-2.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.9	2.39	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.07	2.06	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.98	2.88	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.22	-0.86	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.12	2.38	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.43	3.98	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.71	2.72	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.03	-0.08	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.23	3.25	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.96	2.69	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.56	2.14	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.44	-1.15	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.36	2.04	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.87	-2.17	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.39	3.82	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.14	-2.2	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.25	2.34	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.24	3.01	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.94	1.98	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.7	4.88	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.2	3.89	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.66	4	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.76	1.95	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.2	2.65	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.77	1.99	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.86	2.45	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.01	-2.76	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.67	3.94	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.36	1.32	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.61	-3.14	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.54	1.96	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.47	0.8	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.17	1.79	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.77	-1.95	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.64	-1.41	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.64	3.58	0	0	0	0	0	1.7
E7.25	E725_Epiblast	Epiblast	-2.52	1.58	0	2	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.46	3.05	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.34	-1.38	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.51	2.87	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.74	-2.83	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.73	-0.67	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.83	-2.28	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.27	0.96	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.26	4.92	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.74	-0.42	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.55	2.9	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	5.02	-0.39	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3	-0.56	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.1	1.39	0	0	0	0	0	0
