day	Anno	celltype	UMAP_1	UMAP_2	Atp1a2	Epha7	Itga11	Lamc3	Mkx	Nfia	Zfpm2	Zic1	Zic4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.31	-0.52	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.93	0.9	0	5.2	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.47	-2.87	0	4.6	0	0	0	5.5	4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.49	1.57	0	5.2	3.8	3.8	4.5	0	5.2	0	3.8
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.21	-1.7	0	4.6	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.3	-1.59	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.05	1.16	0	4.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.03	-0.06	0	5.1	0	0	0	0	0	5.1	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.17	-1.92	0	0	0	0	0	0	5.4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.74	-4.31	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.01	-1	0	4.3	0	0	0	4.3	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.46	3.15	0	0	0	0	0	6.1	4.5	5.2	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.22	-2.19	0	4.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.29	-1.07	0	0	0	0	0	0	4.6	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.03	-0.06	0	5.2	0	0	0	4.1	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.57	2.19	0	5.4	0	0	5.4	0	6.8	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.26	0.82	0	4.7	0	0	0	0	0	4.3	3.6
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.84	-2.06	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.36	0.15	0	4.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.66	-0.84	0	0	0	0	0	0	5.3	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.5	-1.5	0	7.1	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.72	-1.03	0	6.4	0	0	0	4.5	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.38	3	0	0	0	0	5	0	0	0	5
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.03	-3.67	0	0	0	0	0	5.1	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.75	1.99	0	0	0	0	0	0	0	0	0
