day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Arid3b	Foxc2	Gata5	Irx1	Irx5	Mef2c	Myl4	Myl7	Nkx2-5	Pax3	Tbx1	Tcf15	Tnnt2	Tsc22d1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.28	1.97	0	2.6	0	0	0	3.2	0	0	0	0	0	2.6	4.3	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.05	-0.93	0	2.1	0	3.1	2.7	2.1	3.7	0	4	3.1	0	2.1	0	0	3.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.98	-0.3	1.9	1.9	1.9	0	1.9	2.5	1.9	0	2.5	2.9	0	1.9	0	0	1.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.59	-2.43	0	0	0	3.3	0	0	0	2.6	3.3	0	0	0	0	3.7	2.6
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.22	0.83	0	0	0	0	0	2.3	0	0	3.3	0	0	2.9	3.8	0	2.9
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.26	5.13	4.1	0	0	0	2.7	3.6	0	0	3.9	0	0	3.1	2.1	0	2.7
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.8	4.12	3.5	2.5	2.5	0	0	0	0	0	2.5	0	0	0	4.2	2.5	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.92	-1.06	0	0	2.9	0	0	0	0	0	0	0	0	0	4.6	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	3.62	-0.97	0	0	2.2	0	0	2.8	3.2	0	4.3	0	0	2.8	2.2	0	3.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.23	-1.8	0	0	0	1.7	0	0	0	0	3.6	1.7	0	0	2.3	0	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.75	-0.51	0	0	0	0	2.9	2.9	2.3	0	2.9	2.3	0	2.3	0	0	3.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.51	-3.8	0	2.6	0	0	0	0	2.6	0	2.6	0	0	0	0	0	2.6
E7.75	E775_Cardiomyocytes	Cardiomyocytes	-6.39	-1.45	0	0	0	2.1	0	0	4.3	3.9	5.6	3.6	0	0	0	4.2	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-0.61	2.39	3.4	2.1	0	0	0	2.7	0	0	3.9	3.1	0	2.1	2.1	0	3.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.82	-2.83	0	0	0	0	2.5	3.2	0	0	3.2	0	0	0	0	0	2.5
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.95	1.52	3.2	0	0	0	2.2	2.2	2.8	0	2.2	0	0	2.2	0	0	2.8
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.55	-1.48	2.4	0	3.1	0	1.8	2.8	0	0	3.1	0	0	1.8	3.5	0	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.62	4.53	2.1	0	2.1	0	0	2.1	0	0	2.7	0	0	0	3.8	0	2.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.97	-2.32	0	0	0	0	0	0	0	2.5	4.4	2.5	0	0	0	0	4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.11	-2.87	1.7	1.7	0	2.3	1.7	0	3.1	0	3.9	0	0	0	0	0	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.42	-0.8	0	0	0	0	2.2	2.2	0	0	3.2	0	0	2.8	4.9	2.2	2.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.6	0.32	0	0	2.4	0	0	2.4	2.4	0	3.1	0	0	0	3.7	0	2.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.98	-0.8	0	0	3.3	0	0	2.2	0	0	2.2	0	0	0	4.4	0	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.23	-0.36	0	3.4	0	3.4	0	2.7	2.7	2.7	2.7	2.7	0	0	0	0	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.56	-2.67	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.4	-0.55	0	1.7	0	2.3	0	0	4.2	2.3	4.4	3.4	0	0	0	0	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.7	3.46	2.1	0	0	0	2.1	2.1	2.1	0	2.1	3.1	0	0	0	0	3.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.73	3.92	4.6	0	0	0	0	3.7	0	0	4.3	0	0	0	3.7	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.35	-1.08	0	2.3	0	2.3	0	0	3.4	2.3	4.3	2.3	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.61	0.53	0	2.1	3.6	0	0	2.1	2.1	0	0	0	0	0	4.3	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.92	-0.09	0	0	3.2	0	0	0	0	0	0	0	0	0	3	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.37	-1.36	0	0	2.8	0	0	2.4	0	0	0	0	0	0	4.6	0	2.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.48	0.45	0	0	2.5	0	3.2	3.2	0	0	2.5	0	0	3.2	4.7	0	2.5
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.23	4.55	2.4	3	2.4	0	0	2.4	0	0	3.4	0	0	0	3.7	0	3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.54	-1.51	0	0	2.7	0	0	3.1	0	0	2.7	0	0	0	3.9	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.75	0.36	0	0	2.5	0	0	2.5	0	0	3.8	0	0	2.5	3.5	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.75	-0.32	0	1.9	0	0	0	0	1.9	1.9	1.9	0	0	0	0	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.6	-2.62	2.2	2.8	0	2.8	0	0	3.2	2.2	4.5	0	0	0	0	2.2	3.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.29	0.23	0	3	0	0	0	0	3	0	3	0	0	3	0	3	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.95	1.18	0	0	0	3.1	0	0	3.1	2.1	3.8	4.3	0	2.1	0	2.1	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.39	-2.43	0	0	0	0	0	0	3.9	2.6	2.6	0	0	0	0	0	2.6
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.24	-0.27	0	0	3.7	0	2.8	2.1	0	0	2.8	0	0	2.1	3.4	0	2.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-4.7	1.83	3.4	0	0	0	0	0	0	0	3.4	0	2.1	0	0	0	2.7
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.27	-1.69	0	0	0	2.8	0	0	2.8	2.8	2.8	0	0	0	0	2.8	2.8
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.84	-1.43	0	0	0	0	0	2.5	4.3	0	3.1	2.5	0	0	0	0	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.56	-1.66	0	0	3.5	0	2.8	0	0	0	0	0	0	0	4.7	0	3.5
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.29	-2.57	3.3	2.7	0	0	0	0	3.3	0	0	0	0	0	5.3	0	2.7
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.34	-0.38	0	1.7	1.7	0	0	1.7	2.7	0	2.9	1.7	0	0	2.3	0	2.7
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.37	-0.54	0	0	0	0	0	0	3.3	0	4.2	3.6	0	0	0	2.3	2.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.58	-1.14	0	0	0	0	2	4.2	2	0	0	2	0	3	2	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.39	-2.38	0	0	0	0	0	0	2.1	0	2.1	0	0	0	0	0	2.7
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.36	-0.15	0	0	2.8	0	2.2	2.2	0	0	2.2	0	0	0	3.2	0	2.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-0.56	3.86	2.2	2.2	2.8	0	0	3.5	0	0	2.2	0	0	0	2.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.35	2.85	3.5	0	2	0	2	2.7	0	0	0	0	0	2.7	2.7	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.22	-0.86	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	3.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.86	1.06	0	0	0	0	0	3.5	2	0	2.6	3.3	0	2	0	0	2.6
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-4.08	1.95	3	0	0	0	2.3	0	0	0	3	0	0	0	2.3	0	2.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.9	-1.7	0	0	0	0	0	0	3.5	0	4.4	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.43	-0.11	0	2.2	2.2	0	0	0	0	0	2.9	2.2	0	0	3.2	0	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.24	-0.43	0	2.4	0	2.4	0	0	3.3	0	4.5	2.8	0	0	0	0	3.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.59	0.79	0	0	0	1.8	0	1.8	0	0	4.2	3.1	1.8	0	0	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.8	-1.98	0	2.4	0	0	0	0	3.7	3.4	4.7	0	0	0	0	2.4	3.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.34	-2.39	0	0	2.8	0	0	0	0	0	0	0	0	2.1	4.7	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.78	0.05	0	0	0	0	2.2	0	2.2	0	2.2	3.5	0	0	2.2	0	3.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.83	-0.42	0	0	2.6	0	2.6	0	0	0	2	0	0	0	4.1	2	2
