day	Anno	celltype	UMAP_1	UMAP_2	Bach2	Cpa2	Dach1	Dll1	Fgf10	Hes7	Hoxa1	Hoxb1	Lmx1b	Mecom	Meis2	Meox1	Msx1	Pax2	Pax8	Prrx1	Sim1	Tbx6	Tshz2	Wnt5a
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-1.47	2.53	0	0	5	0	0	0	0	0	0	0	5.7	0	0	5	0	0	0	0	5.7	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.04	-2.79	0	0	5.2	0	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0	5.2	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.28	0.3	0	0	5.4	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.28	4.33	0	0	0	0	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0	4.8	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.9	2.78	0	0	5.2	0	0	0	0	0	0	0	7	0	0	0	0	0	5.2	0	5.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.64	0.44	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	5.8	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.03	-1.34	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.05	-1.74	0	0	6.4	0	0	0	0	0	5.3	5.3	5.3	0	0	0	0	5.3	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.76	4.27	0	0	5.8	0	0	0	0	0	0	0	5.8	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.2	-5.04	4.7	0	0	0	5.4	0	0	0	0	6.3	5.4	0	4.7	0	0	4.7	0	0	5.4	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.42	-2.76	5.4	0	5.4	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	0	6.1	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.58	3.13	0	0	5.3	0	0	0	0	0	0	0	6.4	0	0	0	0	0	5.3	0	5.3	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	0.81	-3.14	0	0	6.6	0	0	0	0	0	0	0	6.8	0	0	0	0	5.3	0	0	0	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-0.7	5.35	0	0	4.3	0	5	0	0	0	0	0	5.7	4.3	0	0	4.3	0	0	0	5.4	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.47	-6.05	6.2	0	5.8	0	4.4	0	0	0	5.1	6.3	5.1	0	0	0	0	5.1	0	0	6.3	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	0.6	-0.98	0	0	0	0	0	0	0	0	0	0	5.1	0	5.8	0	0	5.1	0	0	5.8	5.1
