day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.32	-3.01	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.47	0.34	1.4	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.48	1.17	3.3	0	0	0	2	0	1.4	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.86	-1.12	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.91	1.24	0	0	0	2.8	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.22	-1.28	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.14	2.28	2.3	0	0	2.3	2.3	0	0	2.3
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.92	-0.89	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.28	1.79	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.31	0.37	3	0	0	1.6	0	0	1.6	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.3	1.22	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.71	0.77	0	0	0	0	0	0	2.9	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.98	1.15	2.7	0	0	2.7	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.74	1.36	2.4	0	0	1.8	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.95	0.39	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.82	-0.97	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.07	-1.57	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.68	-1.72	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.44	-0.22	1.8	0	0	0	1.8	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.67	-0.84	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.21	0.97	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.29	1.98	0	0	0	0	1.6	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.12	0.35	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.92	1.21	0	0	0	0	0	0	0	1.9
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.63	-1.92	3	0	0	3	0	0	2	0
