day	Anno	celltype	UMAP_1	UMAP_2	marker:Tdo2	marker:Hsd11b2	marker:Pmp22	marker:Hand1	up:Foxp1	up:Hoxb2	up:Creb3l1	up:Mef2c	up:Gata5	up:Hlx	up:Nr2f2	up:Nkx2-3	down:Pitx1	down:Cdx2	down:Msx1	down:Hoxb6	down:Msx2	down:Hoxd1	down:Hoxd9	down:Lef1	down:Hoxb8	down:Sp5	down:Hoxa1	down:Tcf7	down:Cdx1	down:Hoxa10	down:Nkx1-2	down:Evx1	down:Alx3	down:Hoxb9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.25	2.88	0	0	5.7	4.3	0	2.8	0	0	0	0	0	0	0	0	2.1	3.7	4.1	0	0	0	2.8	2.1	0	2.8	2.1	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.26	-3.17	4.1	2.3	5.6	4.8	2.9	2.9	0	0	0	3.3	2.3	0	2.3	0	2.3	0	2.3	0	0	0	0	0	2.9	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.23	-4.75	5.4	0	5.5	4.6	0	3.2	0	0	0	0	0	0	0	0	2.6	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.3	2.02	0	0	5.5	4.4	0	2.4	0	0	0	0	0	0	0	0	4.6	3.4	2.8	1.8	0	1.8	3	1.8	2.4	0	0	0	0	0	1.8	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.32	-1.73	4.2	3.4	5.1	4.2	0	2.7	2.4	0	0	0	0	0	0	2.4	0	1.8	1.8	0	0	0	0	0	0	0	0	0	0	0	1.8	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.82	-1.46	0	2.2	5.3	4.7	0	2.2	0	0	0	0	0	0	2.9	0	3.9	0	3.5	0	0	2.2	0	0	0	0	0	2.9	2.2	0	2.2	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.76	-3.47	5.4	2.7	4.9	4.3	2.1	3.1	2.1	0	0	0	0	2.7	0	2.7	2.1	2.1	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.31	2.9	0	0	5.4	4.9	0	3.4	2.4	0	0	0	0	0	0	0	3.7	2.4	0	2.4	0	2.4	0	0	2.4	2.4	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.53	1.52	0	2.3	5.5	3.8	0	2.3	0	0	0	0	0	0	0	0	4.3	3.6	2.3	2.3	0	0	2.9	2.9	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.1	3.49	0	0	5	4.2	0	2	0	0	0	0	0	0	2.7	0	3.3	0	3.3	0	0	3.1	2	3.1	3.1	0	0	0	2	0	2	0
