day	Anno	celltype	UMAP_1	UMAP_2	down:Pou5f1	down:Gbx2	down:Hoxb1	down:Hoxa1	down:Tal2	down:Dlx5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.2	1.9	3	0	2.6	3.3	2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.07	-3.74	3.6	2.5	0	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.6	0.06	3.2	0	2	2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.32	-1.47	3.5	2	3.3	4.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.7	2.24	3	2	0	4.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.99	-3.27	3.7	3.5	0	0	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.86	2.57	4.3	0	0	3.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.05	-0.82	3.3	1.8	0	3.6	2.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.13	2.05	3.1	0	1.8	2.8	0	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.85	0.01	3.5	0	2.7	1.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.11	-3	3.9	0	2.2	2.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.49	-1.11	3.2	0	2	3.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.27	-3.22	3.7	2	0	3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.65	1.15	3.7	0	0	4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.5	0.13	4	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.26	-0.4	4.2	2.5	2.5	4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.54	2	2.6	0	0	3.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.09	0.58	3.5	0	2	3.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.66	-1.41	4.4	2.6	1.9	3.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.6	-3.64	4	3.2	0	2.2	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.56	-2.23	4	2.5	0	2.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.21	-3.34	4	2.9	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.06	-1.31	3.9	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.69	-1.31	4.3	2.8	0	1.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.89	3.47	3.2	0	2.4	3.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.41	-2.68	4.3	2.6	2.6	2.6	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.76	-2.36	4.1	0	0	3.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.16	1.6	3	2	2.6	4.2	0	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.4	-3.55	3.8	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.86	2.11	3.4	0	2.1	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.93	-0.52	3.9	2.9	0	3.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.65	-2.98	3.9	2.4	3.1	2.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.97	-2.46	4.3	2.6	2	3.4	0	3.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.65	3.46	3.2	0	1.9	3.6	0	0
